Brand,Name,Color,RAM,ROM,Cam-1,Cam-2,Display,Price,URL
OnePlus,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)",Blue Tide,6 GB  , 128 GB ,64MP Rear Camera,-,16.74 cm (6.59 inch) Display,"₹17,992",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY9TPTG8U&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGMFREBAHZQGY9.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)",Black Dusk,6 GB  , 128 GB ,64MP Rear Camera,-,16.74 cm (6.59 inch) Display,"₹17,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm537fc2aa73747?pid=MOBGHBZHB7YJT5HF&lid=LSTMOBGHBZHB7YJT5HFYPOJLU&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGHBZHB7YJT5HF.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)",Jade Fog,8 GB  , 128 GB ,50MP Rear Camera,-,17.02 cm (6.7 inch) Display,"₹28,010",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm31ac32e308282?pid=MOBGHBZHFAUYKH3U&lid=LSTMOBGHBZHFAUYKH3UG86TZL&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGHBZHFAUYKH3U.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",Gray Shadow,8 GB  , 128 GB ,50MP Rear Camera,-,17.02 cm (6.7 inch) Display,"₹27,753",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itmeadf76c1e8943?pid=MOBGHBZH2S8MWQGQ&lid=LSTMOBGHBZH2S8MWQGQZRWMI2&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGHBZH2S8MWQGQ.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",Gray Shadow,8 GB  , 128 GB ,50MP Rear Camera,-,17.02 cm (6.7 inch) Display,"₹27,699",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itmd6fae876845b9?pid=MOBGZKM5XBXSJYZT&lid=LSTMOBGZKM5XBXSJYZTWMRCOQ&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGZKM5XBXSJYZT.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2T 5G (Jade Fog, 128 GB)",Jade Fog,8 GB  , 128 GB ,50MP Rear Camera,-,17.02 cm (6.7 inch) Display,"₹28,040",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm38fc98b1d0cbc?pid=MOBGNQHZ7V2GPFKG&lid=LSTMOBGNQHZ7V2GPFKGHLERCI&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGNQHZ7V2GPFKG.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord (Gray Onyx, 64 GB)",Gray Onyx,6 GB  , 64 GB ,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"₹22,891",https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJ8QEWXD&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBFUE5H57THFNVJ.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord (Blue Marble, 256 GB)",Blue Marble,12 GB  , 256 GB ,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"₹26,990",https://www.flipkart.com/oneplus-nord-blue-marble-256-gb/p/itm3f93c90430130?pid=MOBFUE5HUU5ZYGRY&lid=LSTMOBFUE5HUU5ZYGRY81ZTBC&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBFUE5HUU5ZYGRY.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord (Gray Onyx, 128 GB)",Gray Onyx,8 GB  , 128 GB ,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"₹24,990",https://www.flipkart.com/oneplus-nord-gray-onyx-128-gb/p/itm3f93c90430130?pid=MOBFUE5HW4XUUGBN&lid=LSTMOBFUE5HW4XUUGBN2VPNLY&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBFUE5HW4XUUGBN.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord (Blue Marble, 128 GB)",Blue Marble,8 GB  , 128 GB ,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"₹24,990",https://www.flipkart.com/oneplus-nord-blue-marble-128-gb/p/itm3f93c90430130?pid=MOBFUE5JWYDZX6HX&lid=LSTMOBFUE5JWYDZX6HX2BOYAS&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBFUE5JWYDZX6HX.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
